
Predictions were generated on 17-Jul-2019 at 13:03:04 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-130-g2d9230df-dirty
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #01: AWT-27CR2 with many DOFs with fixed yaw error and steady wind

Time      	HSShftPwr 	HSShftTq  	HSShftV   	LSSGagFxs 	LSSGagFys 	LSSGagFzs 	LSSGagV   	LSShftPwr 	LSShftTq  	RootFxb3  	RootFyb3  	RootMEdg3 	RootMFlp3 	RotSpeed  	Spn4MLxb1 	Spn4MLyb1 	Spn5ALxb1 	Spn5ALyb1 	TipDxb3   	TipDyb3   	TipRDxb3  	TipRDyb3  
(s)       	(kW)      	(kN-m)    	(rpm)     	(kN)      	(kN)      	(kN)      	(rpm)     	(kW)      	(kN-m)    	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(rpm)     	(kN-m)    	(kN-m)    	(m/s^2)   	(m/s^2)   	(m)       	(m)       	(deg)     	(deg)     
   10.7000	 4.833E-13	 4.442E-08	 1.039E-04	 3.556E-06	-4.441E-07	-6.684E+00	 3.678E-06	 4.955E-13	 1.255E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.771E-06	-1.465E-03	 2.767E-02	 1.754E-05	-1.926E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.7200	 4.766E-13	 4.345E-08	 1.047E-04	 1.587E-06	-2.691E-07	-6.684E+00	 3.708E-06	 4.869E-13	 1.227E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.788E-06	-1.465E-03	 2.767E-02	 9.064E-05	-4.147E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.205E-02
   10.7400	 3.754E-13	 3.398E-08	 1.055E-04	-7.286E-07	-3.044E-08	-6.684E+00	 3.734E-06	 3.801E-13	 9.599E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.781E-06	-1.465E-03	 2.767E-02	 1.383E-04	-5.296E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.205E-02
   10.7600	 2.074E-13	 1.868E-08	 1.060E-04	-2.789E-06	 2.090E-07	-6.684E+00	 3.752E-06	 2.075E-13	 5.278E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.755E-06	-1.465E-03	 2.767E-02	 1.492E-04	-5.116E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.7800	 1.831E-14	 1.647E-09	 1.062E-04	-4.075E-06	 3.881E-07	-6.684E+00	 3.759E-06	 1.811E-14	 4.652E-08	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.718E-06	-1.465E-03	 2.767E-02	 1.218E-04	-3.698E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.8000	-1.413E-13	-1.272E-08	 1.061E-04	-4.280E-06	 4.628E-07	-6.684E+00	 3.755E-06	-1.385E-13	-3.593E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.682E-06	-1.464E-03	 2.767E-02	 6.428E-05	-1.445E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.8200	-2.305E-13	-2.082E-08	 1.058E-04	-3.384E-06	 4.171E-07	-6.684E+00	 3.744E-06	-2.253E-13	-5.881E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.658E-06	-1.464E-03	 2.767E-02	-7.744E-06	 1.042E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.8400	-2.291E-13	-2.077E-08	 1.053E-04	-1.649E-06	 2.661E-07	-6.684E+00	 3.729E-06	-2.245E-13	-5.867E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.654E-06	-1.464E-03	 2.768E-02	-7.545E-05	 3.122E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.8600	-1.410E-13	-1.283E-08	 1.050E-04	 4.551E-07	 5.160E-08	-6.684E+00	 3.717E-06	-1.393E-13	-3.623E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.671E-06	-1.464E-03	 2.768E-02	-1.218E-04	 4.279E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.8800	 8.160E-15	 7.429E-10	 1.049E-04	 2.380E-06	-1.699E-07	-6.684E+00	 3.713E-06	 8.146E-15	 2.099E-08	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.707E-06	-1.464E-03	 2.768E-02	-1.356E-04	 4.251E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.9000	 1.793E-13	 1.630E-08	 1.051E-04	 3.639E-06	-3.415E-07	-6.684E+00	 3.719E-06	 1.809E-13	 4.604E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.753E-06	-1.464E-03	 2.768E-02	-1.144E-04	 3.083E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.9200	 3.293E-13	 2.980E-08	 1.055E-04	 3.929E-06	-4.208E-07	-6.684E+00	 3.734E-06	 3.349E-13	 8.419E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.799E-06	-1.464E-03	 2.768E-02	-6.483E-05	 1.113E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.9400	 4.209E-13	 3.786E-08	 1.062E-04	 3.206E-06	-3.904E-07	-6.684E+00	 3.758E-06	 4.296E-13	 1.070E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.835E-06	-1.464E-03	 2.767E-02	-3.437E-07	-1.133E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.9600	 4.319E-13	 3.858E-08	 1.069E-04	 1.684E-06	-2.610E-07	-6.684E+00	 3.784E-06	 4.399E-13	 1.090E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.854E-06	-1.465E-03	 2.767E-02	 6.214E-05	-3.072E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.9800	 3.605E-13	 3.200E-08	 1.076E-04	-2.225E-07	-6.881E-08	-6.684E+00	 3.808E-06	 3.648E-13	 9.039E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.854E-06	-1.465E-03	 2.767E-02	 1.068E-04	-4.223E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   11.0000	 2.264E-13	 2.001E-08	 1.081E-04	-2.015E-06	 1.354E-07	-6.684E+00	 3.826E-06	 2.270E-13	 5.651E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.836E-06	-1.465E-03	 2.767E-02	 1.228E-04	-4.317E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
